Title,Rating,Votes,Duration,Genre
Kraven the Hunter,5.5, 53K,2h 7m,Action
Sonic the Hedgehog 3,6.9, 58K,1h 50m,Action
Gladiator II,6.5, 226K,2h 28m,Action
Twisters,6.5, 166K,2h 2m,Action
Freaky Tales,7.2, 1K,1h 47m,Action
Deadpool & Wolverine,7.6, 489K,2h 8m,Action
The Crow,4.7, 34K,1h 51m,Action
Dune: Part Two,8.5, 622K,2h 46m,Action
The Ministry of Ungentlemanly Warfare,6.8, 134K,2h 2m,Action
Venom: The Last Dance,6.0, 115K,1h 50m,Action
Pushpa: The Rule - Part 2,6.1, 56K,3h 21m,Action
Civil War,7.0, 236K,1h 49m,Action
Furiosa: A Mad Max Saga,7.5, 284K,2h 28m,Action
Carry-On,6.5, 164K,1h 59m,Action
The Beekeeper,6.3, 155K,1h 45m,Action
Fight or Flight,6.4, 6.3K,1h 37m,Action
Borderlands,4.7, 48K,1h 41m,Action
The Count of Monte-Cristo,7.6, 34K,2h 58m,Action
The Fall Guy,6.8, 220K,2h 6m,Action
Transformers One,7.6, 50K,1h 44m,Action
Road House,6.2, 167K,2h 1m,Action
Solo Leveling: ReAwakening,8.8, 11K,2h 1m,Action
The Lord of the Rings: The War of the Rohirrim,6.3, 30K,2h 14m,Action
Rebel Ridge,6.8, 88K,2h 11m,Action
Elevation,5.6, 21K,1h 31m,Action
Love Lies Bleeding,6.6, 57K,1h 44m,Action
Classified,3.7, 2.5K,1h 45m,Action
William Tell,5.7, 2.4K,2h 13m,Action
Madame Web,4.0, 100K,1h 56m,Action
Bad Boys: Ride or Die,6.5, 99K,1h 55m,Action
Argylle,5.6, 92K,2h 19m,Action
Red One,6.3, 139K,2h 3m,Action
Godzilla x Kong: The New Empire,6.0, 121K,1h 55m,Action
Damsel,6.1, 109K,1h 50m,Action
Kingdom of the Planet of the Apes,6.9, 151K,2h 25m,Action
Hellboy: The Crooked Man,4.5, 13K,1h 39m,Action
Land of Bad,6.6, 51K,1h 53m,Action
Survive,4.6, 2.4K,1h 30m,Action
Gunner,3.2, 2.6K,1h 46m,Action
The Union,5.4, 53K,1h 47m,Action
Kung Fu Panda 4,6.3, 68K,1h 34m,Action
Werewolves,4.4, 6.5K,1h 33m,Action
Monkey Man,6.8, 91K,2h 1m,Action
Uglies,4.7, 33K,1h 40m,Action
Aftermath,5.1, 3.9K,1h 37m,Action
The Killer's Game,5.8, 17K,1h 44m,Action
Homestead,5.3, 3.5K,1h 52m,Action
The Killer,5.7, 13K,2h 6m,Action
Arcadian,5.5, 23K,1h 32m,Action
Toofan,7.4, 7.7K,2h 25m,Action
Dirty Angels,4.3, 3.4K,1h 44m,Action
Old Guy,5.2, 2.2K,1h 34m,Action
Beverly Hills Cop: Axel F,6.4, 81K,1h 58m,Action
Thelma,7.0, 22K,1h 38m,Action
Lift,5.5, 49K,1h 47m,Action
Blitz,6.2, 16K,2h,Action
Absolution,5.2, 7.8K,1h 52m,Action
The Instigators,6.2, 37K,1h 41m,Action
Maharaja,8.4, 67K,2h 21m,Action
Attack on Titan the Movie: The Last Attack,9.2, 15K,2h 25m,Action
Drive-Away Dolls,5.4, 23K,1h 24m,Action
Marco,6.8, 21K,2h 25m,Action
Azrael,5.4, 11K,1h 26m,Action
Atlas,5.6, 56K,1h 58m,Action
Descendants: The Rise of Red,4.7, 7K,1h 31m,Action
Karma,8.0, 1.4K,2h 47m,Action
Apocalypse Z: The Beginning of the End,6.1, 20K,1h 57m,Action
Canary Black,5.3, 11K,1h 41m,Action
The Prosecutor,6.7, 1.8K,1h 57m,Action
Under Paris,5.2, 36K,1h 44m,Action
Kalki 2898 AD,7.0, 66K,3h,Action
Cash Out,4.8, 2.9K,1h 32m,Action
Armor,3.6, 3.8K,1h 29m,Action
Twilight of the Warriors: Walled In,7.0, 9.4K,2h 6m,Action
Brothers,5.4, 13K,1h 29m,Action
Long Gone Heroes,5.2, 1.1K,1h 41m,Action
Watchmen: Chapter I,7.0, 6.5K,1h 23m,Action
Rebel Moon - Part Two: The Scargiver,5.3, 59K,2h 2m,Action
The Silent Hour,6.1, 7.4K,1h 39m,Action
One More Shot,5.4, 3.7K,1h 43m,Action
Trigger Warning,4.6, 19K,1h 46m,Action
The Shadow Strays,6.5, 9.1K,2h 24m,Action
Watchmen: Chapter II,7.0, 3K,1h 30m,Action
Jackpot!,5.8, 30K,1h 46m,Action
Weekend in Taipei,5.7, 4.6K,1h 40m,Action
Revolver,5.4, 856,1h 54m,Action
Aavesham,7.8, 28K,2h 35m,Action
Hitpig,5.1, 919,1h 26m,Action
Boneyard,4.1, 5K,1h 36m,Action
Red Right Hand,5.5, 5.9K,1h 51m,Action
The Fix,4.6, 1.2K,1h 38m,Action
Take Cover,5.1, 2.4K,1h 30m,Action
River of Blood,5.2, 1.8K,1h 26m,Action
Megamind vs. The Doom Syndicate,2.5, 5.5K,1h 23m,Action
Trouble,6.2, 6.8K,1h 38m,Action
Chief of Station,4.7, 4.6K,1h 37m,Action
The Quiet Ones,6.4, 678,1h 50m,Action
Cloud,6.3, 1.1K,2h 4m,Action
Baby John,5.2, 17K,2h 39m,Action
Uprising,6.6, 5.5K,2h 6m,Action
Panda Plan,5.1, 1.2K,1h 39m,Action
Viduthalai Part 2,7.9, 16K,2h 50m,Action
No Way Up,4.6, 10K,1h 30m,Action
Damaged,4.7, 7.2K,1h 37m,Action
The Thundermans Return,5.0, 1.8K,1h 10m,Action
Sikandar Ka Muqaddar,6.0, 24K,2h 22m,Action
Justice League: Crisis on Infinite Earths - Part One,6.2, 8.4K,1h 33m,Action
The Roundup: Punishment,6.6, 5.2K,1h 49m,Action
My Spy: The Eternal City,5.7, 11K,1h 52m,Action
Role Play,5.5, 19K,1h 40m,Action
Duchess,4.6, 1.3K,1h 54m,Action
Amaran,8.2, 18K,2h 47m,Action
Prey,3.7, 3.3K,1h 26m,Action
Singham Again,4.7, 75K,2h 24m,Action
My Hero Academia: You're Next,7.0, 2K,1h 50m,Action
Hanu Man,7.7, 29K,2h 38m,Action
Harbin,6.3, 600,1h 48m,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1, 4.5K,1h 34m,Action
Jigra,6.0, 24K,2h 33m,Action
The Wages of Fear,4.6, 4.1K,1h 44m,Action
Levels,5.0, 1.5K,1h 33m,Action
Baby Invasion,4.6, 422,1h 20m,Action
"I, the Executioner",6.3, 1.7K,1h 58m,Action
Dominique,5.3, 2.2K,1h 40m,Action
Devara Part 1,6.0, 20K,2h 56m,Action
A Legend,4.7, 896,2h 9m,Action
Rogue Elements: A Ryan Drake Story,4.7, 963,44m,Action
The Clean Up Crew,4.1, 1.1K,1h 35m,Action
Alien: Rubicon,2.4, 338,1h 26m,Action
The Courier,6.0, 4.4K,1h 41m,Action
Joe Baby,7.3, 30,1h 26m,Action
Dan Da Dan: First Encounter,8.2, 2.7K,1h 23m,Action
Officer Black Belt,6.8, 8.2K,1h 48m,Action
Badland Hunters,5.9, 12K,1h 47m,Action
Hounds of War,4.5, 1.8K,1h 35m,Action
Rifle Club,7.0, 4.2K,1h 53m,Action
Utopia,3.6, 359,1h 31m,Action
Night Call,6.8, 1.9K,1h 37m,Action
Hagen,6.1, 1.2K,2h 19m,Action
Ultraman: Rising,6.9, 6.3K,1h 57m,Action
Mafia Wars,3.4, 237,1h 34m,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, 8.5K,1h 44m,Action
Dark Match,5.4, 939,1h 34m,Action
Cesium Fallout,6.5, 643,2h 16m,Action
Death Whisperer 2,6.4, 1.4K,1h 50m,Action
Anaconda,4.9, 631,1h 24m,Action
The Price of Money: A Largo Winch Adventure,5.0, 1.1K,1h 40m,Action
Fighter,6.2, 52K,2h 46m,Action
Kill Em All 2,4.1, 1.3K,1h 28m,Action
Darkness of Man,4.8, 3.2K,1h 49m,Action
Code 8: Part II,5.7, 16K,1h 40m,Action
Handsome Guys,6.5, 818,1h 41m,Action
Vanvaas,6.6, 1.3K,2h 40m,Action
Bougainvillea,6.4, 3.1K,2h 18m,Action
Air Force One Down,4.4, 2.9K,1h 24m,Action
Zero,6.3, 51,1h 28m,Action
Sunray: Fallen Soldier,4.3, 629,1h 55m,Action
Simarik,6.4, 2.6K,1h 51m,Action
Devil's Knight,5.2, 862,1h 30m,Action
Raqa,5.7, 189,1h 47m,Action
Pani,6.9, 3K,2h 23m,Action
Striking Rescue,5.6, 391,1h 46m,Action
One Fast Move,5.0, 2.2K,1h 48m,Action
Bangkok Dog,5.0, 169,1h 25m,Action
Angels Fallen: Warriors of Peace,4.9, 5.8K,1h 43m,Action
Overlord: The Sacred Kingdom,6.9, 932,2h 15m,Action
The Family Star,5.4, 5.4K,2h 39m,Action
The Last Kumite,4.6, 2.3K,1h 45m,Action
Article 370,7.8, 25K,2h 38m,Action
Life After Fighting,6.4, 2K,2h 6m,Action
The Tiger's Apprentice,5.7, 2.2K,1h 24m,Action
Agni,7.2, 15K,2h 2m,Action
Agent Recon,2.4, 671,1h 25m,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5, 5.3K,1h 34m,Action
London Calling,7.8, 20,1h 49m,Action
Arena Wars,4.8, 2.1K,1h 36m,Action
Black Heat,8.6, 117,1h 33m,Action
Lights Out,4.9, 1.8K,1h 30m,Action
Latency,4.2, 2.5K,1h 34m,Action
Elyas,6.1, 1.4K,1h 45m,Action
City Hunter,6.3, 5.6K,1h 42m,Action
Freedom,5.9, 1.4K,1h 50m,Action
Yolo,6.9, 3.7K,2h 9m,Action
Die Hart 2: Die Harter,4.3, 5.5K,1h 32m,Action
Wynonna Earp: Vengeance,5.6, 1.5K,1h 36m,Action
Operation Undead,4.7, 399,1h 50m,Action
The Twisters,2.5, 332,1h 26m,Action
Rats!,6.5, 119,1h 25m,Action
Sixty Minutes,5.7, 5.2K,1h 28m,Action
Yodha,5.7, 8.8K,2h 10m,Action
Golden Kamuy,6.3, 2.6K,2h 7m,Action
11 Rebels,6.2, 372,2h 35m,Action
Operation Blood Hunt,3.4, 481,1h 33m,Action
Nice Girls,4.2, 1.2K,1h 32m,Action
Paradox Effect,6.0, 8.6K,1h 27m,Action
Heart of the Hunter,4.7, 2.2K,1h 45m,Action
Hijack 1971,6.8, 3.3K,1h 40m,Action
Everybody Loves Jenifa,8.3, 84,2h 15m,Action
Alien Country,4.4, 363,1h 36m,Action
Vettaiyan,7.0, 39K,2h 43m,Action
Wanted Man,4.8, 2.6K,1h 25m,Action
Khadaan,7.2, 2.1K,2h 17m,Action
Escape,6.4, 2K,1h 34m,Action
The Greatest of All Time,5.7, 22K,3h 3m,Action
WWII: Operation Phoenix,6.2, 74,1h 46m,Action
Ferry 2,5.6, 3.8K,1h 34m,Action
Snow White and the Seven Samurai,3.2, 291,1h 28m,Action
Murder Company,3.7, 1.5K,1h 26m,Action
The Last of Us: Immunity,5.9, 16,1h 4m,Action
Saripodhaa Sanivaaram,7.0, 9K,2h 46m,Action
The Hangman,3.3, 1K,1h 32m,Action
Savi,6.1, 35K,2h 6m,Action
Sorgavaasal,6.6, 1.3K,2h 18m,Action
Fight Another Day,4.9, 349,1h 37m,Action
A.R.M,7.1, 8.7K,2h 30m,Action
How to Rob a Bank,6.6, 4.2K,1h 28m,Action
The Last Front,5.5, 609,1h 38m,Action
The Lockdown,4.3, 608,1h 57m,Action
Terminator: Skynet Rising,6.7, 265,1h 28m,Action
40 Acres,6.8, 129,1h 53m,Action
Raayan,6.5, 11K,2h 25m,Action
Bionic,4.3, 1.7K,1h 50m,Action
The Actor,3.4, 727,2h 8m,Action
Kanguva,4.5, 15K,2h 32m,Action
